security,date,vwap,close,volume,fut_val_pt,fut_contract_size,contract_value,price_basis,usd_notional_traded
CL1 Comdty,2025-12-16,55.5904,55.27,230933.0,1000.0,1000.0,75350.00000000001,vwap,12837657843.2
CL1 Comdty,2025-12-17,56.1457,55.94,125608.0,1000.0,1000.0,75350.00000000001,vwap,7052349085.599999
CL1 Comdty,2025-12-18,56.3451,56.15,85735.0,1000.0,1000.0,75350.00000000001,vwap,4830747148.5
CL1 Comdty,2025-12-19,56.65,56.66,20398.0,1000.0,1000.0,75350.00000000001,vwap,1155546700.0
CL1 Comdty,2025-12-22,57.6645,58.01,221576.0,1000.0,1000.0,75350.00000000001,vwap,12777069251.999998
CL1 Comdty,2025-12-23,58.0936,58.38,183633.0,1000.0,1000.0,75350.00000000001,vwap,10667902048.800001
CL1 Comdty,2025-12-24,58.4698,58.35,111762.0,1000.0,1000.0,75350.00000000001,vwap,6534701787.6
CL1 Comdty,2025-12-26,57.6546,56.74,166669.0,1000.0,1000.0,75350.00000000001,vwap,9609234527.4
CL1 Comdty,2025-12-29,57.9268,58.08,178590.0,1000.0,1000.0,75350.00000000001,vwap,10345147212.0
CL1 Comdty,2025-12-30,58.1808,57.95,143802.0,1000.0,1000.0,75350.00000000001,vwap,8366515401.599999
CL1 Comdty,2025-12-31,57.9247,57.42,157160.0,1000.0,1000.0,75350.00000000001,vwap,9103445852.0
CL1 Comdty,2026-01-02,57.1077,57.32,189503.0,1000.0,1000.0,75350.00000000001,vwap,10822080473.1
CL1 Comdty,2026-01-05,57.7331,58.32,301483.0,1000.0,1000.0,75350.00000000001,vwap,17405548187.3
CL1 Comdty,2026-01-06,58.0136,57.13,292067.0,1000.0,1000.0,75350.00000000001,vwap,16943858111.199997
CL1 Comdty,2026-01-07,56.4175,55.99,383128.0,1000.0,1000.0,75350.00000000001,vwap,21615123939.999996
CL1 Comdty,2026-01-08,57.2293,57.76,334134.0,1000.0,1000.0,75350.00000000001,vwap,19122254926.2
CL1 Comdty,2026-01-09,58.8762,59.12,360309.0,1000.0,1000.0,75350.00000000001,vwap,21213624745.8
